Weekday,Date,Year,Name,Holiday type,Full_Date
Thu,25-Nov,1999,Thanksgiving Day,National holiday,1999-11-25
Thu,23-Nov,2000,Thanksgiving Day,National holiday,2000-11-23
Thu,22-Nov,2001,Thanksgiving Day,National holiday,2001-11-22
Thu,28-Nov,2002,Thanksgiving Day,National holiday,2002-11-28
Thu,27-Nov,2003,Thanksgiving Day,National holiday,2003-11-27
Thu,25-Nov,2004,Thanksgiving Day,National holiday,2004-11-25
Thu,24-Nov,2005,Thanksgiving Day,National holiday,2005-11-24
Thu,23-Nov,2006,Thanksgiving Day,National holiday,2006-11-23
Thu,22-Nov,2007,Thanksgiving Day,National holiday,2007-11-22
Thu,27-Nov,2008,Thanksgiving Day,National holiday,2008-11-27
Thu,26-Nov,2009,Thanksgiving Day,National holiday,2009-11-26
Thu,25-Nov,2010,Thanksgiving Day,National holiday,2010-11-25
Thu,24-Nov,2011,Thanksgiving Day,National holiday,2011-11-24
Thu,22-Nov,2012,Thanksgiving Day,National holiday,2012-11-22
Thu,28-Nov,2013,Thanksgiving Day,National holiday,2013-11-28
Thu,27-Nov,2014,Thanksgiving Day,National holiday,2014-11-27
Fri,25-Dec,1987,Christmas Day,"National holiday, Christian",1987-12-25
Mon,26-Dec,1988,Christmas Day observed,"National holiday, Christian",1988-12-26
Mon,25-Dec,1989,Christmas Day,"National holiday, Christian",1989-12-25
Tue,25-Dec,1990,Christmas Day,"National holiday, Christian",1990-12-25
Wed,25-Dec,1991,Christmas Day,"National holiday, Christian",1991-12-25
Fri,25-Dec,1992,Christmas Day,"National holiday, Christian",1992-12-25
Fri,24-Dec,1993,Christmas Day observed,"National holiday, Christian",1993-12-24
Mon,26-Dec,1994,Christmas Day observed,"National holiday, Christian",1994-12-26
Mon,25-Dec,1995,Christmas Day,"National holiday, Christian",1995-12-25
Wed,25-Dec,1996,Christmas Day,"National holiday, Christian",1996-12-25
Thu,25-Dec,1997,Christmas Day,"National holiday, Christian",1997-12-25
Fri,25-Dec,1998,Christmas Day,"National holiday, Christian",1998-12-25
Fri,24-Dec,1999,Christmas Day observed,"National holiday, Christian",1999-12-24
Mon,25-Dec,2000,Christmas Day,"National holiday, Christian",2000-12-25
Tue,25-Dec,2001,Christmas Day,"National holiday, Christian",2001-12-25
Wed,25-Dec,2002,Christmas Day,"National holiday, Christian",2002-12-25
Thu,25-Dec,2003,Christmas Day,"National holiday, Christian",2003-12-25
Fri,24-Dec,2004,Christmas Day observed,"National holiday, Christian",2004-12-24
Mon,26-Dec,2005,Christmas Day observed,"National holiday, Christian",2005-12-26
Mon,25-Dec,2006,Christmas Day,"National holiday, Christian",2006-12-25
Tue,25-Dec,2007,Christmas Day,"National holiday, Christian",2007-12-25
Thu,25-Dec,2008,Christmas Day,"National holiday, Christian",2008-12-25
Fri,25-Dec,2009,Christmas Day,"National holiday, Christian",2009-12-25
Fri,24-Dec,2010,Christmas Day observed,"National holiday, Christian",2010-12-24
Mon,26-Dec,2011,Christmas Day observed,"National holiday, Christian",2011-12-26
Tue,25-Dec,2012,Christmas Day,"National holiday, Christian",2012-12-25
Wed,25-Dec,2013,Christmas Day,"National holiday, Christian",2013-12-25
Thu,25-Dec,2014,Christmas Day,"National holiday, Christian",2014-12-25
